Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Option1 name,Option1 value,Price,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,SEO title,SEO description
苺のショートケーキ,strawberry-shortcake,"<p>ふんわりと焼き上げたジェノワーズに、軽やかなホイップクリームと甘酸っぱい苺をたっぷり挟みました。仕上げに大きな苺をのせ、粉糖をひとふり。シンプルだからこそ、素材の力がそのまま伝わる、Sweet Atelier の定番です。</p><p>特別な日にも、なんでもない日のおやつにも。ご家族で囲むホールケーキとしてどうぞ。</p>",Sweet Atelier,"Food, Beverages & Tobacco > Food Items > Bakery",ホールケーキ,"定番,ショートケーキ,苺,通年",TRUE,Active,SC-4,サイズ,4号（直径12cm・2〜3名分）,3800,TRUE,shopify,10,DENY,800,g,TRUE,manual,https://raw.githubusercontent.com/meta-taro/shopify-cake-store-demo-theme/develop/docs/seed-data/products/01-strawberry-shortcake.png,1,"きめ細かなジェノワーズ生地と生クリーム、艶やかな苺をのせたショートケーキ",苺のショートケーキ ｜ Sweet Atelier,"ふんわりと焼き上げたジェノワーズに、軽やかなホイップクリームと甘酸っぱい苺をたっぷり挟んだ、Sweet Atelier 定番のショートケーキ。"
,strawberry-shortcake,,,,,,,,SC-5,,5号（直径15cm・4〜5名分）,4800,TRUE,shopify,10,DENY,800,g,TRUE,manual,,,,,
,strawberry-shortcake,,,,,,,,SC-6,,6号（直径18cm・6〜8名分）,6200,TRUE,shopify,10,DENY,800,g,TRUE,manual,,,,,
クラシックショコラ,classic-chocolat,"<p>クーベルチュールチョコレートを贅沢に使い、しっとりと焼き込んだクラシックなガトーショコラ。表面のひび割れは、職人が丁寧に焼き上げた証。口どけのよさと、奥行きのあるカカオの余韻をお楽しみください。</p><p>ブラックコーヒーや赤ワインとも好相性。コーヒー好きの方への贈り物にもおすすめです。</p>",Sweet Atelier,"Food, Beverages & Tobacco > Food Items > Bakery",ホールケーキ,"定番,ショコラ,チョコレート,通年",TRUE,Active,CC-4,サイズ,4号（直径12cm）,3800,TRUE,shopify,10,DENY,700,g,TRUE,manual,https://raw.githubusercontent.com/meta-taro/shopify-cake-store-demo-theme/develop/docs/seed-data/products/02-classic-chocolate.png,1,表面に粉糖を雪のようにふったクラシックなガトーショコラ,クラシックショコラ ｜ Sweet Atelier,"クーベルチュールチョコレートを贅沢に使い、しっとり焼き込んだクラシックなガトーショコラ。"
,classic-chocolat,,,,,,,,CC-5,,5号（直径15cm）,4800,TRUE,shopify,10,DENY,700,g,TRUE,manual,,,,,
,classic-chocolat,,,,,,,,CC-6,,6号（直径18cm）,6200,TRUE,shopify,10,DENY,700,g,TRUE,manual,,,,,
桜と苺のタルト,sakura-strawberry-tarte,"<p>春のはじまりを告げる、桜と苺の季節限定タルト。サクサクのアーモンド生地に、桜の香りをほのかに移したカスタードクリームを忍ばせ、完熟の苺を花びらのように敷き詰めました。</p><p>中央に飾った塩漬けの桜が、甘さの中にひと匙の塩気と和の余韻を添えます。3月から5月までの限定販売です。</p>",Sweet Atelier,"Food, Beverages & Tobacco > Food Items > Bakery",タルト,"季節限定,春,桜,苺,タルト",TRUE,Active,SST-15,サイズ,直径15cm（4〜5名分）,5200,TRUE,shopify,8,DENY,600,g,TRUE,manual,https://raw.githubusercontent.com/meta-taro/shopify-cake-store-demo-theme/develop/docs/seed-data/products/03-sakura-strawberry-tart.png,1,苺を花弁状に並べ、塩漬け桜をあしらった春限定タルト,桜と苺のタルト ｜ 春限定 ｜ Sweet Atelier,"サクサクのアーモンド生地に桜の香りのカスタードと完熟苺を敷き詰めた、3〜5月限定のタルト。"
アトリエクッキー缶,atelier-cookie-selection,"<p>小さなアトリエで一枚ずつ焼き上げた、12種類の焼き菓子の詰合せ。ショートブレッド、抹茶のサブレ、ラズベリージャムサンド、ピスタチオのフロランタン…一缶でアトリエの仕事をひととおり味わえる構成にしました。</p><p>開けた瞬間の華やかさを大切に、お届けする日まで職人が手作業で詰めています。お祝いごとや手土産、自分へのご褒美にも。</p>",Sweet Atelier,"Food, Beverages & Tobacco > Food Items > Bakery",焼き菓子,"ギフト,焼き菓子,詰合せ,日持ち",TRUE,Active,ACS-S,サイズ,Sサイズ（約20枚）,3200,TRUE,shopify,15,DENY,600,g,TRUE,manual,https://raw.githubusercontent.com/meta-taro/shopify-cake-store-demo-theme/develop/docs/seed-data/products/04-atelier-cookie-tin.png,1,"ショートブレッドや抹茶クッキー、ジャムサンドなどを詰め合わせた焼き菓子の缶",アトリエクッキー缶 ｜ Sweet Atelier,"ショートブレッドや抹茶サブレなど12種を詰め合わせた、手土産にもうれしいアトリエの焼き菓子缶。"
,atelier-cookie-selection,,,,,,,,ACS-M,,Mサイズ（約36枚）,4800,TRUE,shopify,12,DENY,1100,g,TRUE,manual,,,,,
アニバーサリーホールケーキ,anniversary-cake,"<p>誕生日や結婚記念日、特別な節目に。真っ白な生クリームで包んだホールケーキの上に、季節のベリーと食用花を品よく飾りました。縁取りに施した繊細なパイピングは、職人の手仕事から生まれる装飾です。</p><p>記念日のひとときに寄り添う、Sweet Atelier のいちばん華やかなホールケーキです。</p>",Sweet Atelier,"Food, Beverages & Tobacco > Food Items > Bakery",ホールケーキ,"アニバーサリー,記念日,誕生日,ホールケーキ,ギフト",TRUE,Active,AC-5,サイズ,5号（直径15cm・4〜5名分）,6800,TRUE,shopify,8,DENY,900,g,TRUE,manual,https://raw.githubusercontent.com/meta-taro/shopify-cake-store-demo-theme/develop/docs/seed-data/products/05-anniversary-cake.png,1,"ベリーと食用花を飾った白い生クリームの記念日用ホールケーキ",アニバーサリーホールケーキ ｜ Sweet Atelier,"真っ白な生クリームに季節のベリーと食用花を飾った、誕生日や記念日のためのホールケーキ。"
,anniversary-cake,,,,,,,,AC-6,,6号（直径18cm・6〜8名分）,8200,TRUE,shopify,6,DENY,900,g,TRUE,manual,,,,,
,anniversary-cake,,,,,,,,AC-7,,7号（直径21cm・8〜10名分）,9800,TRUE,shopify,4,DENY,900,g,TRUE,manual,,,,,
